accession_no,ticker,cik,filed_at,filing_date,item_codes,body_keywords,direction,direction_confidence,direction_source,t0_close,t1_close,t5_close,next_day_return,five_day_return,label_t1,label_t5,is_loose_quality,profit_margin,is_small_cap,is_low_float,is_quality,market_cap,float_shares,gross_margin,roe
0001179929-26-000026,MOH,0001179929,2026-05-11,2026-05-11,5.02|5.03|5.07|9.01,restate,short,0.85,body_keywords,185.19,191.58,,0.03451,,A_long,,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-26-015766,MOH,0001179929,2026-05-08,2026-05-08,7.01|9.01,,,0.0,,185.94,185.19,,-0.00403,,neutral,,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-26-000020,MOH,0001179929,2026-04-22,2026-04-22,2.02|9.01,,,0.0,,153.0,174.7,196.49,0.14183,0.28425,A_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-26-005871,MOH,0001179929,2026-02-26,2026-02-26,7.01,,,0.0,,146.36,154.05,147.71,0.05254,0.00922,A_long,neutral,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-26-003384,MOH,0001179929,2026-02-06,2026-02-06,1.01|2.03|2.06|9.01,credit_facility_amendment|restate,short,0.85,body_keywords,131.72,127.53,135.35,-0.03181,0.02756,A_short,B_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-26-000002,MOH,0001179929,2026-02-05,2026-02-05,2.02|9.01,,,0.0,,176.84,131.72,126.71,-0.25515,-0.28348,A_short,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-035866,MOH,0001179929,2025-11-20,2025-11-20,1.01|2.03|8.01|9.01,covenant_violation|material_adverse_change|restate,short,0.85,body_keywords,134.51,141.56,148.26,0.05241,0.10222,A_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-035490,MOH,0001179929,2025-11-18,2025-11-18,7.01|9.01,,,0.0,,141.19,138.12,146.77,-0.02174,0.03952,B_short,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-035305,MOH,0001179929,2025-11-17,2025-11-17,7.01|9.01,,,0.0,,136.79,141.19,145.3,0.03217,0.06221,A_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-035194,MOH,0001179929,2025-11-14,2025-11-14,7.01|9.01,,,0.0,,137.54,136.79,141.56,-0.00545,0.02923,neutral,B_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-25-000125,MOH,0001179929,2025-10-22,2025-10-22,2.02|9.01,,,0.0,,195.13,161.0,160.28,-0.17491,-0.1786,A_short,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-026208,MOH,0001179929,2025-08-12,2025-08-12,1.01|2.03|9.01,buyback_authorized|covenant_violation|credit_facility_amendment|material_adverse_change|restate,short,0.85,body_keywords,157.31,161.21,173.85,0.02479,0.10514,B_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-25-000116,MOH,0001179929,2025-07-23,2025-07-23,2.02|9.01,,,0.0,,190.25,158.22,159.97,-0.16836,-0.15916,A_short,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-022210,MOH,0001179929,2025-07-07,2025-07-07,2.02|9.01,,,0.0,,232.61,231.02,218.95,-0.00684,-0.05872,neutral,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-25-000075,MOH,0001179929,2025-05-01,2025-05-01,5.02|5.07|9.01,restate,short,0.85,body_keywords,313.04,318.04,325.86,0.01597,0.04095,B_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-25-000067,MOH,0001179929,2025-04-23,2025-04-23,2.02|9.01,,,0.0,,332.0,313.81,327.01,-0.05479,-0.01503,A_short,B_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-008247,MOH,0001179929,2025-03-18,2025-03-18,7.01|9.01,,,0.0,,317.07,314.87,310.53,-0.00694,-0.02063,neutral,B_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-004747,MOH,0001179929,2025-02-21,2025-02-21,1.01|2.03|9.01,covenant_violation|credit_facility_amendment|material_adverse_change|restate,short,0.85,body_keywords,283.81,287.42,301.12,0.01272,0.06099,B_long,A_long,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001179929-25-000020,MOH,0001179929,2025-02-05,2025-02-05,2.02|9.01,,,0.0,,317.01,285.01,266.57,-0.10094,-0.15911,A_short,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-25-002597,MOH,0001179929,2025-02-03,2025-02-03,7.01|9.01,,,0.0,,325.36,315.41,286.42,-0.03058,-0.11968,A_short,A_short,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
0001437749-24-037651,MOH,0001179929,2024-12-16,2024-12-16,7.01|9.01,,,0.0,,295.48,291.78,294.5,-0.01252,-0.00332,B_short,neutral,False,0.0043599997,False,True,False,9981318144.0,51247644.0,0.088570006,0.04482
