ticker,date,signal_type,gap_pct,vol_ratio,run_pct,green_days,t0_close,t1_close,t5_close,next_day_return,five_day_return,direction,direction_confidence
PUMP,2020-06-09,frd,,,0.6258,3,7.32,6.39,5.98,-0.12705,-0.18306,frd,1.0
PUMP,2022-10-10,frd,,,0.3316,8,9.51,9.3,9.56,-0.02208,0.00526,frd,0.5525964703130465
PUMP,2025-10-29,gap_and_go,0.23288,11.293,,,11.1,10.84,10.84,-0.02342,-0.02342,long,1.0
PUMP,2025-10-30,frd,,,0.7591,3,10.84,10.38,10.75,-0.04244,-0.0083,frd,1.0
PUMP,2026-04-30,frd,,,0.3094,7,17.13,16.62,15.55,-0.02977,-0.09224,frd,0.5155876813450642
OMCL,2024-08-07,frd,,,0.4156,4,39.05,40.2,41.56,0.02945,0.06428,frd,0.6926851403715479
MGNI,2020-10-06,frd,,,0.3382,7,7.99,8.29,9.11,0.03755,0.14018,frd,0.5636071842645684
MGNI,2020-11-30,frd,,,0.7797,7,19.0,19.0,20.5,0.0,0.07895,frd,1.0
MGNI,2020-12-28,frd,,,0.752,7,31.04,30.13,28.57,-0.02932,-0.07957,frd,1.0
MGNI,2021-02-10,frd,,,0.7815,7,57.64,61.8,53.9,0.07217,-0.06489,frd,1.0
MGNI,2021-03-12,frd,,,0.3376,3,49.21,45.63,50.68,-0.07275,0.02987,frd,0.5625899315077526
MGNI,2022-11-10,gap_and_go,0.24567,8.7,,,9.57,11.6,11.05,0.21212,0.15465,long,1.0
MGNI,2023-05-15,frd,,,0.3565,3,11.55,10.68,12.51,-0.07532,0.08312,frd,0.594153418685377
MGNI,2024-11-14,frd,,,0.377,7,16.66,15.85,16.55,-0.04862,-0.0066,frd,0.6284152322010692
MGNI,2025-05-15,frd,,,0.3699,8,15.88,15.54,15.6,-0.02141,-0.01763,frd,0.61657041328382
ATEN,2020-12-23,frd,,,0.3274,8,10.23,9.96,9.86,-0.02639,-0.03617,frd,0.5456476014614826
ADMA,2024-08-09,gap_and_go,0.23872,4.18,,,15.96,16.45,17.55,0.0307,0.09962,long,1.0
ADMA,2024-08-16,frd,,,0.5362,6,17.55,18.22,18.4,0.03818,0.04843,frd,0.8937409673367236
GRFS,2024-07-09,frd,,,0.3392,4,8.37,8.91,8.15,0.06452,-0.02628,frd,0.5652865091408339
MD,2020-11-10,frd,,,0.3581,3,18.38,18.53,19.14,0.00816,0.04135,frd,0.5969050257489729
MD,2024-08-13,frd,,,0.3294,5,10.11,9.94,10.75,-0.01682,0.0633,frd,0.5489939340722348
MD,2025-11-13,frd,,,0.3371,8,22.63,23.15,22.74,0.02298,0.00486,frd,0.5617758251961926
FIGS,2022-12-05,frd,,,0.367,5,8.18,7.6,7.3,-0.0709,-0.10758,frd,0.6116453113914874
FIGS,2023-11-03,gap_and_go,0.20107,3.701,,,6.81,6.67,6.15,-0.02056,-0.09692,long,0.9251835641093817
FIGS,2025-11-13,frd,,,0.3324,4,9.4,9.24,9.11,-0.01702,-0.03085,frd,0.5540781212717374
FIGS,2026-03-03,frd,,,0.562,3,16.95,16.97,16.1,0.00118,-0.05015,frd,0.9367397779267266
CXW,2024-11-06,gap_and_go,0.24431,8.597,,,17.58,22.08,21.52,0.25597,0.22412,long,1.0
CXW,2024-11-12,frd,,,0.815,5,22.13,21.52,22.01,-0.02756,-0.00542,frd,1.0
ANAB,2020-10-21,frd,,,0.5385,6,16.84,17.28,19.0867,0.02613,0.13341,frd,0.8975124103628013
ANAB,2024-05-06,frd,,,0.4086,6,17.18,17.12,15.9933,-0.00349,-0.06907,frd,0.6809750160070217
ANAB,2024-11-27,frd,,,0.3374,6,16.7467,16.64,15.7733,-0.00637,-0.05812,frd,0.5623232081461564
ANAB,2025-02-18,frd,,,0.7147,3,13.1867,13.0733,11.46,-0.00859,-0.13094,frd,1.0
ANAB,2025-04-23,frd,,,0.3288,7,13.6133,13.74,14.8133,0.0093,0.08815,frd,0.5480296128789957
FUN,2020-11-09,gap_and_go,0.23726,5.906,,,36.36,35.7,35.4,-0.01815,-0.0264,long,1.0
FUN,2020-11-10,frd,,,0.4638,8,35.7,33.33,35.64,-0.06639,-0.00168,frd,0.7729468858694493
BORR,2022-06-03,frd,,,0.3042,3,6.45,6.29,6.11,-0.02481,-0.05271,frd,0.5069581408723528
AGRO,2026-03-20,frd,,,0.4625,8,14.11,13.19,14.05,-0.0652,-0.00425,frd,0.770770769337394
VET,2020-06-09,frd,,,0.501,6,6.92,6.46,5.56,-0.06647,-0.19653,frd,0.8350101787627723
VET,2021-09-30,frd,,,0.3676,7,9.9,10.24,10.95,0.03434,0.10606,frd,0.612711549885605
LC,2021-03-18,frd,,,0.8249,7,19.74,21.72,18.93,0.1003,-0.04103,frd,1.0
LC,2021-07-29,gap_and_go,0.37538,34.383,,,24.02,24.4,27.29,0.01582,0.13614,long,1.0
